49 7776 31843
0 0     -3.326500e+02 2.620900e+02
35 4     1.346800e+02 1.370100e+02
0 5     -2.332999e+01 9.144000e+01
1 5     -1.404999e+01 8.514001e+01
2 5     -2.857999e+01 9.432001e+01
3 5     -1.864001e+01 8.757001e+01
6 5     -3.579999e+01 1.016000e+02
0 6     1.787500e+02 2.415997e+01
1 6     1.750200e+02 2.017999e+01
0 7     1.022900e+02 8.660001e+01
1 7     1.048500e+02 7.997000e+01
2 7     1.007600e+02 8.914001e+01
3 7     1.037900e+02 8.331000e+01
4 7     1.012800e+02 9.295999e+01
5 7     1.010100e+02 7.592999e+01
6 7     1.026000e+02 9.613000e+01
7 7     9.798001e+01 7.394000e+01
8 7     1.040100e+02 1.008500e+02
10 7     9.106000e+01 6.828003e+01
11 7     9.498001e+01 7.140002e+01
12 7     1.085300e+02 1.131100e+02
13 7     8.881000e+01 6.628998e+01
15 7     1.100400e+02 1.166000e+02
16 7     8.159000e+01 6.148999e+01
17 7     1.127300e+02 1.268600e+02
20 7     1.112000e+02 1.219900e+02
22 7     8.501001e+01 6.394000e+01
30 7     7.579001e+01 5.929999e+01
34 7     6.889001e+01 5.738000e+01
35 7     1.150000e+02 1.319200e+02
39 7     7.094000e+01 5.514001e+01
43 7     6.695999e+01 5.477002e+01
45 7     7.632001e+01 5.285999e+01
0 8     2.776500e+02 -1.007001e+01
1 8     2.424300e+02 -1.244000e+01
2 8     3.030100e+02 -9.500000e+00
3 8     2.606000e+02 -9.500000e+00
4 8     3.299500e+02 -8.679993e+00
5 8     2.233200e+02 -1.314001e+01
6 8     3.651300e+02 -1.009998e+01
7 8     2.080000e+02 -1.317999e+01
10 8     1.821700e+02 -1.284003e+01
11 8     1.944300e+02 -1.257001e+01
13 8     1.721000e+02 -1.245001e+01
16 8     1.522300e+02 -1.282001e+01
22 8     1.615100e+02 -1.263000e+01
30 8     1.413100e+02 -1.306000e+01
34 8     1.304300e+02 -1.317999e+01
39 8     1.270700e+02 -1.245001e+01
43 8     1.251100e+02 -1.403003e+01
45 8     1.295300e+02 -1.354999e+01
0 9     1.648900e+02 1.228200e+02
1 9     1.599000e+02 1.109400e+02
2 9     1.672200e+02 1.286800e+02
3 9     1.625500e+02 1.165100e+02
4 9     1.717400e+02 1.357300e+02
5 9     1.520700e+02 1.042200e+02
6 9     1.777800e+02 1.423800e+02
7 9     1.462700e+02 9.894000e+01
8 9     1.835900e+02 1.532200e+02
9 9     1.909600e+02 1.614500e+02
10 9     1.340100e+02 8.994000e+01
11 9     1.404100e+02 9.442999e+01
12 9     2.088700e+02 1.813100e+02
13 9     1.299300e+02 8.617999e+01
14 9     1.998700e+02 1.702100e+02
15 9     2.182200e+02 1.910800e+02
16 9     1.189400e+02 7.862000e+01
17 9     2.377900e+02 2.183300e+02
20 9     2.274700e+02 2.046800e+02
22 9     1.241200e+02 8.235999e+01
30 9     1.112300e+02 7.545001e+01
34 9     1.029200e+02 7.257001e+01
35 9     2.495300e+02 2.331700e+02
38 9     2.749600e+02 2.742900e+02
39 9     1.024500e+02 6.829999e+01
43 9     9.937000e+01 6.891998e+01
45 9     1.068700e+02 6.503998e+01
0 10     1.233900e+02 5.039978e+00
1 10     1.243700e+02 4.119995e+00
2 10     1.218500e+02 4.940002e+00
3 10     1.247500e+02 4.710022e+00
4 10     1.221500e+02 5.440002e+00
5 10     1.200800e+02 3.469971e+00
6 10     1.234900e+02 5.780029e+00
7 10     1.159300e+02 3.690002e+00
8 10     1.257100e+02 8.000000e+00
9 10     1.281200e+02 9.729980e+00
10 10     1.080400e+02 3.130005e+00
11 10     1.118500e+02 4.020020e+00
12 10     1.339400e+02 1.004999e+01
13 10     1.051200e+02 3.349976e+00
14 10     1.317800e+02 9.489990e+00
15 10     1.367100e+02 9.659973e+00
16 10     9.734000e+01 2.489990e+00
17 10     1.392800e+02 1.123999e+01
20 10     1.382700e+02 1.078003e+01
22 10     1.012200e+02 2.929993e+00
30 10     9.145001e+01 1.690002e+00
34 10     8.382001e+01 1.489990e+00
35 10     1.401400e+02 1.151001e+01
38 10     1.492600e+02 1.527002e+01
39 10     8.479001e+01 1.880005e+00
43 10     8.089001e+01 8.300171e-01
45 10     8.951999e+01 1.140015e+00
47 10     1.556500e+02 1.320001e+01
0 11     1.582900e+02 -4.859985e+00
1 11     1.542600e+02 -6.140015e+00
3 11     1.567200e+02 -5.150024e+00
5 11     1.474600e+02 -7.869995e+00
7 11     1.417000e+02 -8.059998e+00
10 11     1.314300e+02 -8.690002e+00
11 11     1.367300e+02 -7.609985e+00
13 11     1.271400e+02 -8.520020e+00
16 11     1.169000e+02 -9.359985e+00
22 11     1.219400e+02 -8.880005e+00
30 11     1.097200e+02 -9.679993e+00
34 11     1.015700e+02 -9.950012e+00
39 11     1.016200e+02 -9.690002e+00
43 11     9.838000e+01 -1.083002e+01
45 11     1.061000e+02 -1.082001e+01
0 12     2.421300e+02 -8.798999e+01
1 12     1.990600e+02 -7.214001e+01
2 12     2.727800e+02 -1.009900e+02
3 12     2.184600e+02 -7.839001e+01
4 12     3.178700e+02 -1.176400e+02
5 12     1.793000e+02 -6.671002e+01
7 12     1.636500e+02 -6.165997e+01
10 12     1.401400e+02 -5.394000e+01
11 12     1.507100e+02 -5.692999e+01
16 12     1.133000e+02 -4.562000e+01
34 12     9.473999e+01 -4.253003e+01
39 12     9.323999e+01 -3.939001e+01
45 12     9.554999e+01 -3.920001e+01
0 13     2.362300e+02 -1.075100e+02
1 13     1.955700e+02 -8.746997e+01
2 13     2.640000e+02 -1.232300e+02
3 13     2.139200e+02 -9.540997e+01
4 13     3.104500e+02 -1.466000e+02
5 13     1.770900e+02 -8.037000e+01
7 13     1.615000e+02 -7.365002e+01
10 13     1.380800e+02 -6.346997e+01
13 13     1.293200e+02 -5.942999e+01
16 13     1.130400e+02 -5.365997e+01
22 13     1.206300e+02 -5.628998e+01
30 13     1.038700e+02 -5.156000e+01
34 13     9.394000e+01 -4.960999e+01
39 13     9.195999e+01 -4.581000e+01
43 13     8.967001e+01 -4.860999e+01
45 13     9.523999e+01 -4.546997e+01
0 14     3.046100e+02 -1.750000e+00
1 14     2.703200e+02 -4.869995e+00
3 14     2.869200e+02 -2.330017e+00
0 15     2.010800e+02 1.210022e+00
1 15     1.912600e+02 -1.109985e+00
4 15     2.132500e+02 2.320007e+00
5 15     1.811800e+02 -2.539978e+00
6 15     2.226000e+02 3.200012e+00
8 15     2.329000e+02 5.489990e+00
11 15     1.656300e+02 -3.020020e+00
12 15     2.716000e+02 1.059003e+01
0 16     2.740200e+02 4.184003e+01
1 16     2.478000e+02 3.334998e+01
3 16     2.605900e+02 3.825000e+01
5 16     2.313700e+02 2.948999e+01
0 17     2.969900e+02 2.090002e+01
1 17     2.640300e+02 1.456000e+01
2 17     3.162400e+02 2.285999e+01
4 17     3.395400e+02 2.702002e+01
0 18     1.488000e+02 -2.242999e+01
1 18     1.454700e+02 -2.298999e+01
2 18     1.491700e+02 -2.378998e+01
3 18     1.481200e+02 -2.206000e+01
4 18     1.519800e+02 -2.413000e+01
8 18     1.600500e+02 -2.398999e+01
9 18     1.646900e+02 -2.342999e+01
10 18     1.254700e+02 -2.163000e+01
11 18     1.295100e+02 -2.209998e+01
12 18     1.758200e+02 -2.540997e+01
13 18     1.213800e+02 -2.073999e+01
14 18     1.711300e+02 -2.534998e+01
15 18     1.820800e+02 -2.651001e+01
16 18     1.122400e+02 -2.045001e+01
17 18     1.953400e+02 -2.714001e+01
20 18     1.882900e+02 -2.628998e+01
22 18     1.168100e+02 -2.065002e+01
30 18     1.048800e+02 -2.052002e+01
33 18     2.035700e+02 -2.878003e+01
34 18     9.651001e+01 -2.062000e+01
35 18     1.986400e+02 -2.709998e+01
38 18     2.123700e+02 -2.810999e+01
0 19     9.334000e+01 3.964001e+01
1 19     9.670001e+01 3.690997e+01
2 19     9.082999e+01 4.059998e+01
4 19     9.035001e+01 4.265002e+01
5 19     9.345001e+01 3.484003e+01
6 19     9.070001e+01 4.420001e+01
7 19     9.076001e+01 3.426001e+01
8 19     9.106000e+01 4.691998e+01
9 19     9.129001e+01 4.932001e+01
10 19     8.482999e+01 3.233002e+01
11 19     8.792001e+01 3.373999e+01
12 19     9.323999e+01 5.123999e+01
13 19     8.301001e+01 3.179999e+01
14 19     9.238000e+01 4.988000e+01
15 19     9.392999e+01 5.239001e+01
16 19     7.710999e+01 2.915997e+01
17 19     9.417999e+01 5.723999e+01
20 19     9.392999e+01 5.521997e+01
22 19     8.017001e+01 3.042999e+01
30 19     7.144000e+01 2.798999e+01
33 19     9.526001e+01 5.990997e+01
34 19     6.472000e+01 2.691998e+01
35 19     9.484000e+01 5.919000e+01
38 19     9.564001e+01 6.248999e+01
43 19     6.259000e+01 2.551001e+01
45 19     7.237000e+01 2.462000e+01
47 19     9.757001e+01 6.383002e+01
0 20     2.625000e+02 5.317999e+01
1 20     2.310800e+02 3.939001e+01
2 20     2.826200e+02 5.759998e+01
3 20     2.459600e+02 4.647998e+01
5 20     2.130800e+02 3.434003e+01
7 20     1.985800e+02 3.042999e+01
8 20     3.867900e+02 9.092999e+01
0 21     2.002800e+02 2.658002e+01
1 21     1.903100e+02 2.163000e+01
2 21     2.050400e+02 2.781000e+01
3 21     1.957400e+02 2.479999e+01
4 21     2.127300e+02 3.046002e+01
5 21     1.807700e+02 1.921002e+01
6 21     2.218900e+02 3.278998e+01
8 21     2.323800e+02 3.683002e+01
9 21     2.435500e+02 4.129999e+01
12 21     2.708400e+02 4.753003e+01
14 21     2.570400e+02 4.360999e+01
15 21     2.856700e+02 5.101001e+01
17 21     3.209700e+02 6.192999e+01
20 21     3.020900e+02 5.634998e+01
33 21     3.659700e+02 7.328998e+01
35 21     3.421300e+02 6.679999e+01
38 21     3.957800e+02 8.248999e+01
0 22     2.376800e+02 2.258002e+01
1 22     2.201200e+02 1.747998e+01
3 22     2.289500e+02 2.076001e+01
4 22     2.599400e+02 2.741998e+01
0 23     3.142400e+02 1.620001e+01
1 23     2.774600e+02 1.029999e+01
2 23     3.360000e+02 1.784998e+01
4 23     3.653200e+02 2.083002e+01
0 24     3.493300e+02 2.042999e+01
1 24     3.020800e+02 1.390002e+01
2 24     3.785000e+02 2.229999e+01
3 24     3.243500e+02 1.847998e+01
5 24     2.775700e+02 1.131000e+01
7 24     2.573100e+02 8.789978e+00
11 24     2.397300e+02 8.130005e+00
0 25     2.933800e+02 1.342999e+01
1 25     2.623300e+02 8.309998e+00
2 25     3.113400e+02 1.494000e+01
3 25     2.775300e+02 1.217999e+01
4 25     3.354200e+02 1.792999e+01
0 26     3.400000e+02 1.169000e+01
1 26     2.952900e+02 4.109985e+00
2 26     3.670900e+02 1.303998e+01
3 26     3.167200e+02 7.979980e+00
5 26     2.717900e+02 1.159973e+00
7 26     2.520200e+02 -6.599731e-01
10 26     2.197300e+02 -2.299988e+00
11 26     2.351300e+02 -1.099976e+00
13 26     2.068700e+02 -2.929993e+00
0 27     2.896800e+02 1.594000e+01
1 27     2.596400e+02 1.058002e+01
2 27     3.069900e+02 1.745001e+01
3 27     2.744200e+02 1.412000e+01
4 27     3.300800e+02 2.060999e+01
5 27     2.417200e+02 8.450012e+00
7 27     2.264800e+02 6.590027e+00
11 27     2.132000e+02 5.849976e+00
13 27     1.907000e+02 3.880005e+00
0 28     2.935900e+02 2.520001e+01
1 28     2.622600e+02 1.773999e+01
2 28     3.119600e+02 2.802002e+01
3 28     2.774900e+02 2.217999e+01
4 28     3.360800e+02 3.245001e+01
5 28     2.433500e+02 1.428998e+01
7 28     2.273200e+02 1.134003e+01
10 28     2.010200e+02 8.400024e+00
11 28     2.136800e+02 1.034003e+01
13 28     1.904900e+02 7.450012e+00
16 28     1.702400e+02 4.809998e+00
22 28     1.799000e+02 6.049988e+00
30 28     1.588900e+02 3.719971e+00
34 28     1.470400e+02 2.479980e+00
39 28     1.422000e+02 1.830017e+00
43 28     1.413000e+02 9.000244e-01
0 29     1.954700e+02 2.696997e+01
1 29     1.864900e+02 2.254999e+01
3 29     1.916900e+02 2.551001e+01
8 29     2.258400e+02 3.753003e+01
9 29     2.365900e+02 4.184003e+01
12 29     2.627900e+02 4.833002e+01
16 29     1.356600e+02 1.257001e+01
22 29     1.419000e+02 1.358002e+01
0 30     3.048400e+02 1.719971e+00
1 30     2.710200e+02 -1.950012e+00
2 30     3.245600e+02 1.919983e+00
4 30     3.518700e+02 5.250000e+00
6 30     3.844700e+02 7.010010e+00
7 30     2.348900e+02 -4.450012e+00
0 31     1.954700e+02 2.696997e+01
1 31     1.864900e+02 2.254999e+01
2 31     2.003000e+02 2.860999e+01
3 31     1.916900e+02 2.551001e+01
4 31     2.072600e+02 3.095001e+01
6 31     2.158600e+02 3.317999e+01
7 31     1.687600e+02 1.828998e+01
8 31     2.258400e+02 3.753003e+01
9 31     2.365900e+02 4.184003e+01
11 31     1.616900e+02 1.745001e+01
12 31     2.627900e+02 4.833002e+01
14 31     2.494900e+02 4.439001e+01
17 31     3.108600e+02 6.309003e+01
20 31     2.928700e+02 5.759998e+01
35 31     3.312600e+02 6.848999e+01
38 31     3.823400e+02 8.389001e+01
0 32     8.303000e+01 -1.497000e+02
1 32     7.825000e+01 -1.243500e+02
0 33     2.182001e+01 2.814001e+01
1 33     2.781000e+01 2.727002e+01
4 33     1.576999e+01 2.885999e+01
5 33     2.609000e+01 2.564001e+01
6 33     1.422000e+01 2.909003e+01
7 33     2.509000e+01 2.602002e+01
8 33     1.289999e+01 3.057001e+01
9 33     1.172000e+01 3.159998e+01
12 33     1.048001e+01 3.184998e+01
14 33     1.109000e+01 3.141998e+01
15 33     9.769989e+00 3.159003e+01
17 33     6.130005e+00 3.359003e+01
20 33     7.790009e+00 3.309003e+01
33 33     3.429993e+00 3.332001e+01
35 33     4.790009e+00 3.431000e+01
38 33     2.329987e+00 3.522998e+01
47 33     2.070007e+00 3.450000e+01
0 34     3.968600e+02 7.104999e+01
1 34     3.342800e+02 5.321997e+01
3 34     3.629900e+02 6.284003e+01
5 34     3.036500e+02 4.642999e+01
7 34     2.793800e+02 4.046002e+01
11 34     2.583300e+02 3.675000e+01
0 35     3.589800e+02 1.890002e+01
1 35     3.087700e+02 1.160999e+01
2 35     3.902900e+02 2.146997e+01
3 35     3.323600e+02 1.632001e+01
5 35     2.831400e+02 8.919983e+00
7 35     2.619200e+02 6.650024e+00
11 35     2.435000e+02 5.640015e+00
0 36     3.584200e+02 5.729980e+00
1 36     3.085600e+02 2.800293e-01
2 36     3.896100e+02 6.710022e+00
5 36     2.830900e+02 -1.539978e+00
0 37     3.584200e+02 5.729980e+00
1 37     3.085600e+02 2.800293e-01
2 37     3.896100e+02 6.710022e+00
3 37     3.324800e+02 3.710022e+00
5 37     2.830900e+02 -1.539978e+00
7 37     2.620600e+02 -3.530029e+00
0 38     3.968600e+02 7.104999e+01
1 38     3.342800e+02 5.321997e+01
3 38     3.629900e+02 6.284003e+01
7 38     2.793800e+02 4.046002e+01
0 39     3.577500e+02 6.799927e-01
1 39     3.071200e+02 -3.440002e+00
2 39     3.884000e+02 1.280029e+00
3 39     3.308400e+02 -2.199707e-01
5 39     2.822300e+02 -4.799988e+00
0 40     2.935900e+02 2.520001e+01
1 40     2.622600e+02 1.773999e+01
2 40     3.119600e+02 2.802002e+01
3 40     2.774900e+02 2.217999e+01
4 40     3.360800e+02 3.245001e+01
0 41     2.933800e+02 1.342999e+01
1 41     2.623300e+02 8.309998e+00
2 41     3.113400e+02 1.494000e+01
3 41     2.775300e+02 1.217999e+01
0 42     3.349300e+02 1.130005e+00
1 42     2.917400e+02 -3.200012e+00
3 42     3.125000e+02 8.001709e-02
5 42     2.690100e+02 -4.419983e+00
7 42     2.497900e+02 -5.809998e+00
10 42     2.181200e+02 -6.580017e+00
11 42     2.331300e+02 -5.890015e+00
0 43     2.252500e+02 1.859998e+01
1 43     2.102800e+02 1.402002e+01
2 43     2.327800e+02 1.985999e+01
3 43     2.179100e+02 1.682001e+01
4 43     2.438400e+02 2.232001e+01
5 43     1.985700e+02 1.171002e+01
6 43     2.571100e+02 2.475000e+01
8 43     2.724800e+02 2.920001e+01
9 43     2.892900e+02 3.391998e+01
12 43     3.312400e+02 4.135999e+01
14 43     3.095600e+02 3.701001e+01
15 43     3.553800e+02 4.579999e+01
20 43     3.835300e+02 5.291998e+01
0 44     3.041100e+02 2.841998e+01
1 44     2.704600e+02 2.056000e+01
2 44     3.236600e+02 3.121002e+01
3 44     2.865100e+02 2.553998e+01
5 44     2.512600e+02 1.738000e+01
7 44     2.351000e+02 1.464001e+01
10 44     2.074100e+02 1.145001e+01
11 44     2.206400e+02 1.334003e+01
13 44     1.967600e+02 1.007001e+01
16 44     1.755500e+02 7.049988e+00
22 44     1.853900e+02 8.450012e+00
30 44     1.638100e+02 5.799988e+00
34 44     1.512000e+02 4.390015e+00
0 45     3.287500e+02 3.170001e+01
1 45     2.884900e+02 2.215997e+01
2 45     3.533200e+02 3.553003e+01
3 45     3.076700e+02 2.806000e+01
5 45     2.662800e+02 1.848999e+01
7 45     2.478000e+02 1.553003e+01
10 45     2.172200e+02 1.145001e+01
11 45     2.321000e+02 1.359998e+01
13 45     2.051700e+02 1.004999e+01
0 46     1.594000e+01 3.235999e+01
1 46     2.239999e+01 3.133002e+01
2 46     1.181000e+01 3.246997e+01
3 46     1.979001e+01 3.141998e+01
4 46     9.660004e+00 3.333002e+01
5 46     2.087000e+01 2.939001e+01
6 46     7.929993e+00 3.347998e+01
7 46     1.987000e+01 2.958002e+01
8 46     6.640015e+00 3.512000e+01
9 46     5.059998e+00 3.637000e+01
10 46     1.797000e+01 2.829999e+01
11 46     1.914001e+01 2.934998e+01
12 46     3.540009e+00 3.676001e+01
13 46     1.739999e+01 2.872998e+01
14 46     4.519989e+00 3.615997e+01
15 46     2.440002e+00 3.676001e+01
17 46     -1.250000e+00 3.901001e+01
20 46     4.500122e-01 3.806000e+01
30 46     9.429993e+00 2.640997e+01
33 46     -3.899994e+00 3.920001e+01
34 46     3.940002e+00 2.609003e+01
35 46     -2.640015e+00 4.004999e+01
38 46     -5.329987e+00 4.123999e+01
43 46     2.859985e+00 2.516998e+01
45 46     1.401999e+01 2.487000e+01
47 46     -6.089996e+00 4.079999e+01
0 47     2.458100e+02 -3.002930e-02
1 47     2.969600e+02 -5.000000e-01
0 48     3.341400e+02 2.117999e+01
1 48     2.914200e+02 1.402002e+01
3 48     3.117000e+02 1.852002e+01
5 48     2.684500e+02 1.129999e+01
7 48     2.494800e+02 8.859985e+00
10 48     2.178200e+02 6.219971e+00
11 48     2.328600e+02 7.840027e+00
13 48     2.055200e+02 5.250000e+00
0 49     2.798400e+02 9.899902e-01
1 49     2.518700e+02 -1.580017e+00
3 49     2.655300e+02 8.200073e-01
5 49     2.351500e+02 -3.479980e+00
0 50     2.419200e+02 1.173999e+01
1 50     2.233200e+02 7.580017e+00
2 50     2.519300e+02 1.244000e+01
3 50     2.328500e+02 1.028998e+01
4 50     2.657100e+02 1.460999e+01
6 50     2.823800e+02 1.659003e+01
8 50     3.015800e+02 2.064001e+01
9 50     3.235400e+02 2.498999e+01
12 50     3.785700e+02 3.159003e+01
14 50     3.497800e+02 2.758002e+01
0 51     2.990800e+02 1.309998e+00
1 51     2.664400e+02 -2.659973e+00
2 51     3.178500e+02 2.119995e+00
3 51     2.824700e+02 3.499756e-01
4 51     3.434400e+02 4.650024e+00
5 51     2.475300e+02 -4.140015e+00
7 51     2.314100e+02 -5.440002e+00
10 51     2.045000e+02 -6.349976e+00
13 51     1.937300e+02 -6.580017e+00
16 51     1.729000e+02 -7.780029e+00
22 51     1.827600e+02 -7.390015e+00
30 51     1.613500e+02 -8.330017e+00
34 51     1.494400e+02 -9.169983e+00
0 52     2.986600e+02 2.364001e+01
1 52     2.663100e+02 1.697998e+01
2 52     3.174300e+02 2.610999e+01
3 52     2.821700e+02 2.127002e+01
6 52     3.734600e+02 3.471997e+01
0 53     2.982600e+02 2.747998e+01
1 53     2.649700e+02 2.015997e+01
2 53     3.170600e+02 3.008002e+01
3 53     2.817700e+02 2.469000e+01
4 53     3.437000e+02 3.485999e+01
5 53     2.465300e+02 1.695001e+01
6 53     3.734600e+02 3.958002e+01
0 54     3.050600e+02 1.446997e+01
1 54     2.711300e+02 8.409973e+00
2 54     3.253300e+02 1.612000e+01
3 54     2.874600e+02 1.292999e+01
4 54     3.522700e+02 1.878003e+01
6 54     3.854900e+02 2.181000e+01
0 55     3.220300e+02 2.838000e+01
1 55     2.829700e+02 2.021002e+01
2 55     3.457700e+02 3.165997e+01
3 55     3.018000e+02 2.535999e+01
4 55     3.771500e+02 3.700000e+01
5 55     2.613400e+02 1.703998e+01
0 56     3.220300e+02 2.838000e+01
1 56     2.829700e+02 2.021002e+01
2 56     3.457700e+02 3.165997e+01
3 56     3.018000e+02 2.535999e+01
4 56     3.771500e+02 3.700000e+01
0 57     6.179993e+00 4.371997e+01
1 57     1.204999e+01 4.025000e+01
2 57     2.489990e+00 4.578998e+01
3 57     1.000000e+01 4.198999e+01
5 57     1.109000e+01 3.853003e+01
7 57     1.066000e+01 3.860999e+01
10 57     9.260010e+00 3.678003e+01
11 57     9.959991e+00 3.807001e+01
13 57     8.950012e+00 3.675000e+01
16 57     5.660004e+00 3.481000e+01
22 57     7.399994e+00 3.578003e+01
30 57     1.760010e+00 3.388000e+01
34 57     -3.160004e+00 3.376001e+01
39 57     4.200134e-01 3.250000e+01
43 57     -3.700012e+00 3.291998e+01
45 57     6.790009e+00 3.101001e+01
0 58     -6.714001e+01 2.285300e+02
1 58     -4.782999e+01 1.955900e+02
2 58     -7.929001e+01 2.492700e+02
3 58     -5.719000e+01 2.094900e+02
5 58     -4.478000e+01 1.803500e+02
6 58     -1.051000e+02 2.997000e+02
7 58     -4.025000e+01 1.694900e+02
9 58     -1.386800e+02 3.713000e+02
11 58     -3.679001e+01 1.589300e+02
14 58     -1.574000e+02 4.143700e+02
0 59     2.054300e+02 2.822998e+01
1 59     1.949800e+02 2.321997e+01
2 59     2.104400e+02 2.951001e+01
3 59     2.005400e+02 2.615002e+01
4 59     2.187200e+02 3.221997e+01
6 59     2.282100e+02 3.479999e+01
8 59     2.388600e+02 3.928998e+01
12 59     2.788200e+02 5.109998e+01
14 59     2.650400e+02 4.682001e+01
15 59     2.943600e+02 5.482001e+01
17 59     3.315600e+02 6.698999e+01
20 59     3.113700e+02 6.107001e+01
33 59     3.781200e+02 7.973001e+01
35 59     3.535400e+02 7.284998e+01
0 60     3.402000e+02 1.440997e+01
1 60     2.955700e+02 9.309998e+00
3 60     3.168500e+02 1.331000e+01
5 60     2.719000e+02 6.669983e+00
7 60     2.522000e+02 4.729980e+00
10 60     2.198600e+02 2.770020e+00
11 60     2.354200e+02 4.229980e+00
13 60     2.073500e+02 1.929993e+00
0 61     3.103600e+02 8.190002e+00
1 61     2.743700e+02 3.940002e+00
2 61     3.309500e+02 9.450012e+00
3 61     2.916200e+02 7.030029e+00
4 61     3.592700e+02 1.221997e+01
5 61     2.542700e+02 2.119995e+00
7 61     2.372900e+02 6.799927e-01
10 61     2.088100e+02 -2.999878e-01
11 61     2.225100e+02 5.999756e-01
13 61     1.975900e+02 -4.000244e-01
0 62     3.544500e+02 6.714001e+01
1 62     3.050900e+02 5.163000e+01
3 62     3.289000e+02 6.031000e+01
10 62     2.252900e+02 3.313000e+01
0 63     2.850200e+02 1.322998e+01
1 63     2.561700e+02 8.289978e+00
2 63     3.016700e+02 1.395001e+01
3 63     2.703200e+02 1.140002e+01
0 64     1.557600e+02 1.489100e+02
1 64     1.510600e+02 1.341600e+02
2 64     1.573900e+02 1.559100e+02
12 64     1.971100e+02 2.219800e+02
0 65     1.323000e+02 1.450900e+02
1 65     1.298000e+02 1.312700e+02
2 65     1.329800e+02 1.519300e+02
3 65     1.309900e+02 1.380600e+02
4 65     1.356900e+02 1.605300e+02
6 65     1.393900e+02 1.688800e+02
7 65     1.187700e+02 1.179500e+02
8 65     1.437800e+02 1.798000e+02
9 65     1.485400e+02 1.912400e+02
10 65     1.092900e+02 1.071200e+02
11 65     1.138500e+02 1.129700e+02
13 65     1.061200e+02 1.029500e+02
14 65     1.551800e+02 2.016700e+02
16 65     9.748001e+01 9.397000e+01
22 65     1.014200e+02 9.838000e+01
34 65     8.289001e+01 8.645001e+01
39 65     8.338000e+01 8.153000e+01
0 66     3.372600e+02 3.984998e+01
1 66     2.942800e+02 2.852002e+01
2 66     3.636400e+02 4.521002e+01
3 66     3.145300e+02 3.512000e+01
5 66     2.710100e+02 2.427002e+01
7 66     2.520800e+02 2.037000e+01
22 66     1.953300e+02 1.188000e+01
0 67     2.904800e+02 4.181000e+01
1 67     2.603900e+02 3.337000e+01
2 67     3.079100e+02 4.541998e+01
3 67     2.748700e+02 3.842999e+01
4 67     3.312900e+02 5.059003e+01
7 67     2.271500e+02 2.648999e+01
10 67     2.010800e+02 2.202002e+01
11 67     2.136600e+02 2.475000e+01
0 68     1.201200e+02 8.485001e+01
1 68     1.216300e+02 7.829999e+01
3 68     1.206200e+02 8.150000e+01
4 68     1.202900e+02 9.076999e+01
5 68     1.165400e+02 7.421002e+01
6 68     1.217100e+02 9.389001e+01
7 68     1.137000e+02 7.190002e+01
8 68     1.234600e+02 9.847000e+01
9 68     1.252200e+02 1.034600e+02
10 68     1.058300e+02 6.694000e+01
